Date,Ticker,Side,Price,Quantity,Fee,VWAP
2024-01-02,5930,BUY,70174,2,21,69834
2024-01-03,5930,SELL,69402,1,10,69270
2024-01-04,5930,SELL,70184,15,158,70043
2024-01-05,5930,SELL,66025,1,10,65723
2024-01-08,5930,BUY,69561,5,52,69286
2024-01-09,5930,BUY,70714,16,170,71263
2024-01-10,5930,BUY,72956,19,208,74012
2024-01-11,5930,SELL,68963,4,41,68714
2024-01-12,5930,SELL,68383,3,31,68221
2024-01-15,5930,SELL,68996,17,176,69259
2024-01-16,5930,BUY,71831,17,183,73424
2024-01-17,5930,SELL,70658,12,127,70700
2024-01-18,5930,SELL,68940,14,145,69427
2024-01-19,5930,BUY,71027,6,64,71799
2024-01-22,5930,BUY,70194,3,32,70366
2024-01-23,5930,BUY,71937,9,97,72400
2024-01-24,5930,BUY,68596,5,51,68900
2024-01-25,5930,SELL,69345,17,177,69861
2024-01-26,5930,BUY,69216,14,145,68699
2024-01-29,5930,BUY,67073,3,30,67175
2024-01-30,5930,SELL,70592,1,11,70833
2024-01-31,5930,BUY,70522,1,11,70756
2024-02-01,5930,BUY,70010,3,32,70579
2024-02-02,5930,BUY,69531,18,188,69754
2024-02-05,5930,BUY,67169,10,101,66597
2024-02-06,5930,SELL,69159,3,31,69454
2024-02-07,5930,BUY,69315,8,83,68873
2024-02-08,5930,SELL,68395,14,144,68046
2024-02-09,5930,SELL,69677,18,188,69468
2024-02-12,5930,BUY,70808,15,159,70752
2024-02-13,5930,SELL,73772,2,22,73001
2024-02-14,5930,BUY,70349,10,106,70908
2024-02-15,5930,BUY,70515,2,21,69937
2024-02-16,5930,SELL,69851,17,178,70636
2024-02-19,5930,SELL,66162,8,79,65600
2024-02-20,5930,SELL,69947,1,10,70588
2024-02-21,5930,BUY,70120,9,95,70106
2024-02-22,5930,BUY,74926,11,124,74068
2024-02-23,5930,SELL,69615,16,167,69094
2024-02-26,5930,BUY,70603,7,74,71266
2024-02-27,5930,BUY,69931,10,105,70155
2024-02-28,5930,BUY,67663,3,30,67623
2024-02-29,5930,BUY,72286,18,195,71177
2024-03-01,5930,SELL,71504,13,139,72199
2024-03-04,5930,BUY,71582,7,75,72517
2024-03-05,5930,SELL,68181,4,41,69025
2024-03-06,5930,BUY,72806,13,142,72498
2024-03-07,5930,SELL,67196,1,10,67388
2024-03-08,5930,SELL,71174,8,85,71420
2024-03-11,5930,BUY,74381,14,156,73617
2024-03-12,5930,SELL,68019,16,163,68109
2024-03-13,5930,SELL,68867,14,145,69403
2024-03-14,5930,SELL,70199,12,126,70582
2024-03-15,5930,SELL,68993,19,197,68437
2024-03-18,5930,SELL,66899,15,151,66467
2024-03-19,5930,SELL,70137,2,21,70532
2024-03-20,5930,BUY,67875,2,20,68192
2024-03-21,5930,BUY,70947,19,202,69820
2024-03-22,5930,BUY,68161,17,174,66933
2024-03-25,5930,BUY,73100,10,110,73062
2024-03-26,5930,BUY,68433,6,62,68139
2024-03-27,5930,BUY,69356,15,156,69207
2024-03-28,5930,SELL,71627,11,118,71421
2024-03-29,5930,BUY,67538,5,51,68030
2024-04-01,5930,BUY,70455,1,11,70507
2024-04-02,5930,SELL,72614,8,87,72748
2024-04-03,5930,BUY,66785,12,120,66114
2024-04-04,5930,SELL,70369,12,127,68687
2024-04-05,5930,BUY,70520,5,53,71082
2024-04-08,5930,SELL,71564,7,75,72635
2024-04-09,5930,SELL,67526,4,41,67355
2024-04-10,5930,BUY,67359,6,61,67484
2024-04-11,5930,BUY,71044,13,139,71206
2024-04-12,5930,SELL,70594,15,159,71432
2024-04-15,5930,SELL,70501,3,32,70945
2024-04-16,5930,SELL,70693,8,85,70941
2024-04-17,5930,SELL,68640,16,165,68668
2024-04-18,5930,BUY,70465,13,137,70495
2024-04-19,5930,BUY,70586,18,191,69866
2024-04-22,5930,BUY,68571,10,103,68380
2024-04-23,5930,SELL,73732,19,210,74175
2024-04-24,5930,SELL,70948,17,181,70831
2024-04-25,5930,BUY,67617,19,193,67640
2024-04-26,5930,BUY,71313,5,53,70725
2024-04-29,5930,BUY,68051,9,92,68273
2024-04-30,5930,BUY,71574,12,129,70843
2024-05-01,5930,SELL,72317,1,11,72462
2024-05-02,5930,SELL,68359,1,10,68265
2024-05-03,5930,SELL,71927,15,162,71055
2024-05-06,5930,BUY,70826,2,21,71360
2024-05-07,5930,BUY,71644,16,172,71562
2024-05-08,5930,SELL,73794,8,89,74724
2024-05-09,5930,SELL,69509,13,136,70248
2024-05-10,5930,SELL,68493,1,10,68053
2024-05-13,5930,SELL,68221,16,164,67825
2024-05-14,5930,BUY,68368,7,72,67782
2024-05-15,5930,SELL,69846,5,52,69053
2024-05-16,5930,BUY,70682,3,32,70471
2024-05-17,5930,BUY,70553,12,127,71275
2024-05-20,5930,BUY,71654,16,172,70697
