Date,Ticker,Side,Price,Quantity,Fee
2024-01-02,660,SELL,129664,2,39
2024-01-03,660,SELL,130979,3,59
2024-01-04,660,SELL,128779,7,135
2024-01-05,660,SELL,125643,7,132
2024-01-08,660,SELL,132441,4,79
2024-01-09,5930,SELL,67482,5,51
2024-01-10,5930,SELL,72378,5,54
2024-01-11,5930,SELL,69917,6,63
2024-01-12,5930,SELL,70348,9,95
2024-01-15,660,BUY,134694,2,40
2024-01-16,5930,SELL,69982,5,52
2024-01-17,660,SELL,132017,3,59
2024-01-18,660,BUY,128110,4,77
2024-01-19,660,SELL,129450,6,117
2024-01-22,5930,BUY,70572,8,85
2024-01-23,5930,SELL,73566,1,11
2024-01-24,660,SELL,128793,8,155
2024-01-25,660,SELL,128713,7,135
2024-01-26,5930,BUY,68181,1,10
2024-01-29,660,SELL,132856,2,40
2024-01-30,5930,SELL,70432,3,32
2024-01-31,5930,BUY,73418,1,11
2024-02-01,5930,BUY,71975,9,97
2024-02-02,5930,SELL,71528,8,86
2024-02-05,660,BUY,127610,2,38
2024-02-06,660,BUY,131982,9,178
2024-02-07,5930,SELL,69604,7,73
2024-02-08,660,BUY,133957,9,181
2024-02-09,660,SELL,129370,6,116
2024-02-12,660,BUY,127157,6,114
2024-02-13,5930,SELL,74134,4,44
2024-02-14,5930,BUY,66110,2,20
2024-02-15,5930,SELL,67200,7,71
2024-02-16,5930,BUY,70459,5,53
2024-02-19,5930,SELL,68835,6,62
2024-02-20,660,BUY,125411,2,38
2024-02-21,5930,SELL,69857,5,52
2024-02-22,5930,SELL,67952,4,41
2024-02-23,5930,SELL,72577,9,98
2024-02-26,5930,SELL,70929,6,64
2024-02-27,5930,BUY,68881,2,21
2024-02-28,5930,SELL,73010,1,11
2024-02-29,5930,BUY,68983,5,52
2024-03-01,5930,BUY,67516,9,91
2024-03-04,5930,BUY,70367,6,63
2024-03-05,660,SELL,130528,7,137
2024-03-06,5930,SELL,71064,5,53
2024-03-07,5930,BUY,71393,6,64
2024-03-08,5930,SELL,71032,5,53
2024-03-11,660,BUY,126646,9,171
2024-03-12,5930,BUY,68852,6,62
2024-03-13,660,BUY,124266,8,149
2024-03-14,660,BUY,128299,2,38
2024-03-15,5930,BUY,70487,9,95
2024-03-18,660,SELL,136769,5,103
2024-03-19,660,SELL,128279,7,135
2024-03-20,5930,BUY,68998,1,10
2024-03-21,5930,BUY,73814,5,55
2024-03-22,660,BUY,125048,2,38
2024-03-25,5930,SELL,70591,6,64
2024-03-26,660,BUY,130704,1,20
2024-03-27,5930,SELL,74417,3,33
2024-03-28,660,SELL,125396,5,94
2024-03-29,5930,SELL,66841,4,40
2024-04-01,660,SELL,134775,3,61
2024-04-02,660,BUY,129946,5,97
2024-04-03,5930,SELL,68506,8,82
2024-04-04,5930,SELL,70110,4,42
2024-04-05,5930,SELL,70484,1,11
2024-04-08,5930,BUY,66939,7,70
2024-04-09,5930,BUY,66265,8,80
2024-04-10,660,BUY,129117,3,58
2024-04-11,660,SELL,134245,6,121
2024-04-12,660,SELL,130375,2,39
2024-04-15,660,SELL,129230,7,136
2024-04-16,660,BUY,133073,8,160
2024-04-17,660,SELL,125132,6,113
2024-04-18,660,BUY,131023,6,118
2024-04-19,5930,BUY,69006,5,52
2024-04-22,5930,BUY,70776,8,85
2024-04-23,5930,SELL,71317,1,11
2024-04-24,5930,BUY,68182,4,41
2024-04-25,5930,SELL,73284,4,44
2024-04-26,5930,SELL,69922,3,31
2024-04-29,660,BUY,135150,3,61
2024-04-30,660,SELL,131323,4,79
2024-05-01,5930,BUY,68441,1,10
2024-05-02,5930,BUY,65607,2,20
2024-05-03,5930,BUY,70110,9,95
2024-05-06,5930,BUY,75011,2,23
2024-05-07,5930,SELL,67963,5,51
2024-05-08,660,BUY,129229,9,174
2024-05-09,5930,SELL,72829,9,98
2024-05-10,660,SELL,132310,8,159
2024-05-13,660,SELL,130991,1,20
2024-05-14,5930,SELL,69730,1,10
2024-05-15,660,SELL,131582,9,178
2024-05-16,660,BUY,130786,8,157
2024-05-17,5930,BUY,72364,9,98
2024-05-20,5930,SELL,70716,7,74
