Date,Ticker,Side,Price,Quantity,Fee
2024-01-02,35420,SELL,177934,1,27
2024-01-03,35420,BUY,178328,4,107
2024-01-04,660,SELL,126551,2,38
2024-01-05,51910,SELL,593393,1,89
2024-01-08,5380,BUY,213605,3,96
2024-01-09,5380,SELL,228647,2,69
2024-01-10,35420,SELL,187066,3,84
2024-01-11,660,BUY,128999,2,39
2024-01-12,5380,SELL,221445,1,33
2024-01-15,35420,SELL,179740,3,81
2024-01-16,51910,BUY,590461,3,266
2024-01-17,5380,BUY,225609,2,68
2024-01-18,35420,BUY,180929,3,81
2024-01-19,35420,BUY,181689,2,55
2024-01-22,5930,BUY,69131,2,21
2024-01-23,51910,SELL,585066,2,176
2024-01-24,5930,BUY,70228,2,21
2024-01-25,660,BUY,127629,1,19
2024-01-26,5930,SELL,69980,2,21
2024-01-29,5930,SELL,69464,4,42
2024-01-30,5380,BUY,217318,3,98
2024-01-31,35420,BUY,175873,4,106
2024-02-01,51910,BUY,580725,1,87
2024-02-02,5930,SELL,68907,4,41
2024-02-05,51910,BUY,574535,3,259
2024-02-06,5930,SELL,71505,4,43
2024-02-07,660,SELL,131644,1,20
2024-02-08,5930,BUY,68630,2,21
2024-02-09,5380,SELL,221548,4,133
2024-02-12,35420,SELL,180478,1,27
2024-02-13,660,BUY,134424,1,20
2024-02-14,5930,SELL,71936,3,32
2024-02-15,51910,SELL,562209,3,253
2024-02-16,660,SELL,132239,4,79
2024-02-19,660,SELL,133290,2,40
2024-02-20,5930,SELL,70783,1,11
2024-02-21,660,SELL,129128,4,77
2024-02-22,51910,SELL,607995,1,91
2024-02-23,660,SELL,131694,1,20
2024-02-26,51910,SELL,602928,2,181
2024-02-27,5930,SELL,71892,2,22
2024-02-28,35420,BUY,181671,4,109
2024-02-29,660,BUY,128493,2,39
2024-03-01,35420,BUY,179913,2,54
2024-03-04,51910,BUY,577426,4,346
2024-03-05,660,BUY,126842,2,38
2024-03-06,5380,SELL,222861,3,100
2024-03-07,35420,BUY,185642,1,28
2024-03-08,660,SELL,129224,1,19
2024-03-11,35420,BUY,187789,1,28
2024-03-12,660,SELL,125950,1,19
2024-03-13,5930,SELL,71476,4,43
2024-03-14,35420,BUY,186017,1,28
2024-03-15,5380,SELL,219102,1,33
2024-03-18,5380,BUY,219181,1,33
2024-03-19,51910,SELL,592096,1,89
2024-03-20,660,BUY,131316,3,59
2024-03-21,35420,SELL,172809,1,26
2024-03-22,51910,BUY,570217,3,257
2024-03-25,35420,SELL,179951,4,108
2024-03-26,660,SELL,126439,2,38
2024-03-27,5380,BUY,217914,1,33
2024-03-28,5930,BUY,68117,2,20
2024-03-29,5380,BUY,218371,2,66
2024-04-01,51910,BUY,576095,4,346
2024-04-02,5930,SELL,70492,2,21
2024-04-03,51910,BUY,578936,3,261
2024-04-04,660,BUY,131307,2,39
2024-04-05,5930,BUY,70537,2,21
2024-04-08,51910,SELL,591964,2,178
2024-04-09,660,BUY,132272,1,20
2024-04-10,5380,BUY,223380,1,34
2024-04-11,660,BUY,138073,3,62
2024-04-12,35420,BUY,181251,3,82
2024-04-15,660,SELL,136743,1,21
2024-04-16,660,BUY,131072,3,59
2024-04-17,35420,BUY,179702,1,27
2024-04-18,51910,SELL,575671,4,345
2024-04-19,51910,SELL,597513,2,179
2024-04-22,660,BUY,134265,2,40
2024-04-23,35420,SELL,182159,3,82
2024-04-24,35420,SELL,184081,1,28
2024-04-25,5380,BUY,214380,1,32
2024-04-26,51910,SELL,562034,3,253
2024-04-29,5930,SELL,71745,1,11
2024-04-30,51910,BUY,578529,4,347
2024-05-01,51910,BUY,588692,2,177
2024-05-02,5380,BUY,216844,3,98
2024-05-03,5930,SELL,72320,3,33
2024-05-06,5380,SELL,213222,1,32
2024-05-07,5930,SELL,68060,3,31
2024-05-08,660,BUY,133755,4,80
2024-05-09,5930,SELL,66346,1,10
