quarter,ticker,asset_name,weight,holding_amount,return
2024Q1,005930.KS,삼성전자,0.7627,5650810.0,-0.0533
2024Q1,AAPL,Apple,0.2373,7645098.0,0.0307
2024Q2,005930.KS,삼성전자,0.5077,10072354.0,0.0324
2024Q2,AAPL,Apple,0.4923,9827223.0,0.0335
2024Q3,005930.KS,삼성전자,0.7035,8854718.0,-0.0832
2024Q3,AAPL,Apple,0.2965,19349747.0,0.0305
2024Q4,005930.KS,삼성전자,0.1136,15171017.0,-0.0169
2024Q4,AAPL,Apple,0.8864,18711078.0,-0.02
2025Q1,005930.KS,삼성전자,0.1151,23951820.0,-0.0833
2025Q1,AAPL,Apple,0.8849,27057849.0,-0.0515
2025Q2,005930.KS,삼성전자,0.275,22881711.0,0.0669
2025Q2,AAPL,Apple,0.725,30636966.0,0.038
2025Q3,005930.KS,삼성전자,0.7071,38133235.0,0.0962
2025Q3,AAPL,Apple,0.2929,20700615.0,-0.0847
2025Q4,005930.KS,삼성전자,0.1029,5983484.0,0.1401
2025Q4,AAPL,Apple,0.8971,33127694.0,-0.0946
