quarter,ticker,asset_name,weight,holding_amount,return
2024Q1,005930.KS,삼성전자,0.2977,45396058.0,0.1254
2024Q1,AAPL,Apple,0.1767,7771497.0,0.0737
2024Q1,IEF,미국채 10년물,0.075,34425316.0,-0.0022
2024Q1,GLD,금(Gold),0.0374,8228321.0,-0.0296
2024Q1,BTC,비트코인,0.0981,48243731.0,0.068
2024Q1,VOO,S&P 500 ETF,0.0578,19386303.0,0.0455
2024Q1,USD,달러 현금,0.0525,30988551.0,0.0135
2024Q1,TLT,미국채 20년물,0.2048,8561769.0,0.0186
2024Q2,005930.KS,삼성전자,0.2331,11744927.0,0.0924
2024Q2,AAPL,Apple,0.1745,42252834.0,-0.0217
2024Q2,IEF,미국채 10년물,0.2233,48980568.0,-0.0161
2024Q2,GLD,금(Gold),0.1914,14562701.0,0.136
2024Q2,BTC,비트코인,0.017,10222324.0,-0.0541
2024Q2,VOO,S&P 500 ETF,0.0025,30223155.0,-0.017
2024Q2,USD,달러 현금,0.0814,30473210.0,0.0138
2024Q2,TLT,미국채 20년물,0.0768,13558698.0,-0.0148
2024Q3,005930.KS,삼성전자,0.2772,44240593.0,-0.0444
2024Q3,AAPL,Apple,0.0634,16676363.0,-0.0798
2024Q3,IEF,미국채 10년물,0.2708,24483274.0,-0.0131
2024Q3,GLD,금(Gold),0.0762,28615039.0,0.0889
2024Q3,BTC,비트코인,0.0794,45123736.0,-0.1116
2024Q3,VOO,S&P 500 ETF,0.0111,45818506.0,-0.0534
2024Q3,USD,달러 현금,0.0166,17614593.0,0.012
2024Q3,TLT,미국채 20년물,0.2054,15091447.0,0.0017
2024Q4,005930.KS,삼성전자,0.0248,30128999.0,-0.0296
2024Q4,AAPL,Apple,0.0615,31403655.0,0.0366
2024Q4,IEF,미국채 10년물,0.3094,6029250.0,0.0175
2024Q4,GLD,금(Gold),0.0372,34399606.0,0.0986
2024Q4,BTC,비트코인,0.109,44071666.0,0.1241
2024Q4,VOO,S&P 500 ETF,0.3126,10961375.0,-0.0727
2024Q4,USD,달러 현금,0.0161,33663712.0,0.0113
2024Q4,TLT,미국채 20년물,0.1292,40860144.0,-0.0125
2025Q1,005930.KS,삼성전자,0.0537,41784877.0,0.1076
2025Q1,AAPL,Apple,0.1304,20221372.0,-0.0641
2025Q1,IEF,미국채 10년물,0.0239,41733675.0,0.0079
2025Q1,GLD,금(Gold),0.112,48490665.0,-0.0919
2025Q1,BTC,비트코인,0.4856,12461972.0,-0.1492
2025Q1,VOO,S&P 500 ETF,0.0193,26365271.0,-0.0717
2025Q1,USD,달러 현금,0.1215,35243348.0,0.0058
2025Q1,TLT,미국채 20년물,0.0537,19972713.0,0.0061
2025Q2,005930.KS,삼성전자,0.166,43531483.0,0.0682
2025Q2,AAPL,Apple,0.1626,24668553.0,-0.0713
2025Q2,IEF,미국채 10년물,0.0551,31730335.0,-0.015
2025Q2,GLD,금(Gold),0.1834,10024424.0,0.0148
2025Q2,BTC,비트코인,0.0773,12689698.0,0.1794
2025Q2,VOO,S&P 500 ETF,0.2575,47537363.0,0.091
2025Q2,USD,달러 현금,0.0233,20455503.0,0.0091
2025Q2,TLT,미국채 20년물,0.0748,34902029.0,0.0057
2025Q3,005930.KS,삼성전자,0.0195,20474792.0,-0.0382
2025Q3,AAPL,Apple,0.2242,49658374.0,0.024
2025Q3,IEF,미국채 10년물,0.3171,47052099.0,0.023
2025Q3,GLD,금(Gold),0.126,23869888.0,-0.0725
2025Q3,BTC,비트코인,0.1349,21998753.0,-0.013
2025Q3,VOO,S&P 500 ETF,0.0378,26211178.0,-0.0005
2025Q3,USD,달러 현금,0.0358,37817885.0,0.0104
2025Q3,TLT,미국채 20년물,0.1047,42150940.0,-0.0194
2025Q4,005930.KS,삼성전자,0.011,42464918.0,0.1422
2025Q4,AAPL,Apple,0.1029,32165874.0,-0.0843
2025Q4,IEF,미국채 10년물,0.1122,35683100.0,-0.0196
2025Q4,GLD,금(Gold),0.1017,5746912.0,0.0763
2025Q4,BTC,비트코인,0.1671,46098391.0,-0.0247
2025Q4,VOO,S&P 500 ETF,0.0965,43766863.0,0.1102
2025Q4,USD,달러 현금,0.2548,8488571.0,0.0116
2025Q4,TLT,미국채 20년물,0.1538,49611449.0,-0.0014
