날짜,시가,고가,저가,종가,거래량
2024-01-02,71200,72500,70800,72100,15234567
2024-01-03,72100,73200,71500,71800,12345678
2024-01-04,71800,72800,71200,72500,13456789
2024-01-05,72500,74000,72300,73800,16789012
2024-01-08,73800,74500,73200,74200,14567890
2024-01-09,74200,75000,73800,74800,17890123
2024-01-10,74800,75500,74200,75100,15678901
2024-01-11,75100,76000,74800,75600,18901234
2024-01-12,75600,76500,75200,76000,16012345
2024-01-15,76000,77000,75800,76800,19123456
2024-01-16,76800,77500,76200,77200,17234567
2024-01-17,77200,78000,76800,77800,20345678
2024-01-18,77800,78500,77300,78100,18456789
2024-01-19,78100,79000,77800,78600,21567890
2024-01-22,78600,79500,78200,79200,19678901
2024-01-23,79200,80000,78800,79800,22789012
2024-01-24,79800,80500,79300,80100,20890123
2024-01-25,80100,81000,79800,80600,23901234
2024-01-26,80600,81500,80200,81000,22012345
2024-01-29,81000,82000,80800,81500,25123456
2024-01-30,81500,82500,81200,82000,23234567
2024-01-31,82000,83000,81800,82500,26345678
2024-02-01,82500,83500,82200,83000,24456789
2024-02-02,83000,84000,82800,83600,27567890
2024-02-05,83600,84500,83200,84000,25678901
2024-02-06,84000,85000,83800,84500,28789012
2024-02-07,84500,85500,84200,85000,26890123
2024-02-08,85000,86000,84800,85500,29901234
2024-02-09,85500,86500,85200,86000,28012345
2024-02-13,86000,87000,85800,86500,31123456
