Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,005930,72451,72855,71875,72451,9872223
2024-01-03,005930,72325,74301,72325,73797,10200854
2024-01-04,005930,73415,73847,73335,73354,15342234
2024-01-05,005930,73199,73224,72606,72881,17422111
2024-01-08,005930,72762,72762,70909,71031,45871614
2024-01-09,005930,71093,71446,70518,71147,13281829
2024-01-10,005930,71323,71323,70426,70626,11740532
2024-01-11,005930,70672,70672,68946,69612,19062490
2024-01-12,005930,69303,70768,69303,70370,17944850
2024-01-15,005930,70131,70131,69549,69783,17626363
2024-01-16,005930,69999,70194,69369,69917,17255244
2024-01-17,005930,69601,71099,69601,70719,8762700
2024-01-18,005930,70891,71866,70891,71673,18646552
2024-01-19,005930,71882,73072,71882,72861,14735326
2024-01-22,005930,72288,74012,72288,73579,8305029
2024-01-23,005930,73778,74456,73648,74327,10991506
2024-01-24,005930,74147,75142,74035,74366,19156371
2024-01-25,005930,74423,74495,73240,73940,10238840
2024-01-26,005930,73784,74709,73580,74242,10735221
2024-01-29,005930,73651,74699,73593,73972,10665293
2024-01-30,005930,73936,74670,73936,74301,14225487
2024-01-31,005930,74297,74920,73921,74683,11610539
2024-02-01,005930,74640,74640,72226,73206,9738738
2024-02-02,005930,73375,74009,73054,73493,17139435
2024-02-05,005930,73802,73802,72264,72501,15602356
2024-02-06,005930,72394,72394,70859,71303,10238222
2024-02-07,005930,70971,72569,70971,72114,15742073
2024-02-08,005930,72248,72745,71960,72195,9650251
2024-02-09,005930,72371,72371,71715,72078,17806666
2024-02-12,005930,72008,72008,70067,71035,18766589
2024-02-13,005930,70771,71361,70289,70880,16711468
2024-02-14,005930,70928,70928,69105,69779,8110364
2024-02-15,005930,70170,70994,70170,70509,15823535
2024-02-16,005930,70350,71513,70350,70931,16957896
2024-02-19,005930,71106,71106,69484,69990,9124097
2024-02-20,005930,70174,71740,70174,71604,46720990
2024-02-21,005930,71547,71851,70680,71420,10342915
2024-02-22,005930,71429,74002,71429,73773,30375984
2024-02-23,005930,73878,74066,73073,73673,19563439
2024-02-26,005930,73904,73973,73017,73631,11803064
2024-02-27,005930,73669,73838,73185,73351,14840734
2024-02-28,005930,73584,74205,73448,73712,16889223
2024-02-29,005930,73407,74462,73103,73779,17712333
2024-03-01,005930,73784,73784,72477,72971,14018195
2024-03-04,005930,73180,74325,73063,73757,18680064
2024-03-05,005930,73794,74544,73794,74355,8431307
2024-03-06,005930,74508,74567,73585,73614,8366002
2024-03-07,005930,73959,73959,71851,72211,10589852
2024-03-08,005930,72221,72620,71863,72344,14487621
2024-03-11,005930,72347,72525,71191,71800,11875477
2024-03-12,005930,71629,72493,71585,72203,8304208
2024-03-13,005930,72131,72391,71333,72125,11002914
2024-03-14,005930,71852,72684,71353,71872,19458383
2024-03-15,005930,71586,73203,71586,72685,10972771
2024-03-18,005930,72782,75043,72782,74315,41070257
2024-03-19,005930,74026,75474,74026,75028,13206219
2024-03-20,005930,74929,75773,74828,74956,12495351
2024-03-21,005930,75047,75560,74116,75096,9955213
2024-03-22,005930,75112,76439,75112,75938,19282762
2024-03-25,005930,75798,75798,74866,75610,14547401
2024-03-26,005930,75674,77978,75674,77548,26562791
2024-03-27,005930,77403,77658,76637,76992,16360845
2024-03-28,005930,77180,77354,76156,76687,11384414
2024-03-29,005930,76276,77881,76276,77289,17316955
2024-04-01,005930,77239,77239,75769,76180,17010452
2024-04-02,005930,76183,77576,76183,77207,17917489
2024-04-03,005930,77282,78721,77282,78093,19407285
2024-04-04,005930,77673,78910,77277,77995,11943974
2024-04-05,005930,78141,78335,76950,77600,9094473
2024-04-08,005930,77113,78513,77113,78208,18652450
2024-04-09,005930,78305,80175,78305,79893,46255850
2024-04-10,005930,80027,80027,78852,79377,8976185
2024-04-11,005930,79206,80365,79206,80232,17325762
2024-04-12,005930,80159,80159,79193,80050,13623927
2024-04-15,005930,80175,80628,79788,80070,19546070
2024-04-16,005930,79988,81702,79988,81567,19558670
2024-04-17,005930,81591,82586,81544,82039,19631630
2024-04-18,005930,81933,82346,80716,81303,15530696
2024-04-19,005930,81837,83858,81837,83142,33985722
2024-04-22,005930,83400,83400,82201,82360,8932815
2024-04-23,005930,82595,82595,79659,80596,48650322
2024-04-24,005930,80765,80765,79227,80062,18392766
2024-04-25,005930,79651,80722,79592,79959,19638972
2024-04-26,005930,79371,81837,79371,81282,11280884
2024-04-29,005930,81172,81172,79933,80427,13406529
2024-04-30,005930,80683,81206,80436,81053,12297952
2024-05-01,005930,81430,83154,81430,82576,14241962
2024-05-02,005930,82830,83254,81933,82716,12841794
2024-05-03,005930,82477,83563,82067,82905,9636457
2024-05-06,005930,83125,83680,82749,83613,12179065
2024-05-07,005930,84022,84377,82981,83500,18348364
2024-05-08,005930,83430,83430,81453,82142,19760390
2024-05-09,005930,81821,81821,80064,80526,8910359
2024-05-10,005930,80707,81416,80591,81197,13687539
2024-05-13,005930,81068,81185,80330,80938,10124125
2024-05-14,005930,80952,80952,79758,80193,16284737
2024-05-15,005930,80166,80166,77502,78020,53023246
2024-05-16,005930,77892,78132,77234,77836,13814275
2024-05-17,005930,78220,78220,75938,76713,8440198
2024-05-20,005930,76720,77161,76274,76507,14385361
2024-05-21,005930,76138,77854,76138,77419,11230918
2024-05-22,005930,77173,78053,77173,77631,11929968
