Date,Open,High,Low,Close,Volume
2024-01-02,71109.2,71845.74,69843.38,71000.0,2389394
2024-01-03,71341.92,71760.86,70790.02,71656.1,1189643
2024-01-04,72129.11,73508.56,71312.11,71499.26,1614349
2024-01-05,71653.1,73702.82,70802.98,72354.28,2926640
2024-01-08,75049.04,76340.42,73288.36,74359.54,1647215
2024-01-09,74588.61,75112.33,72825.6,74068.44,2024962
2024-01-10,74422.08,75480.71,73102.04,73778.51,1013788
2024-01-11,76072.43,77579.5,74581.91,75897.86,1940325
2024-01-12,77549.99,78719.02,76449.01,76969.06,2345464
2024-01-15,76127.19,76843.92,75775.32,76341.72,2582249
2024-01-16,77676.29,79101.77,76317.15,77110.19,1903335
2024-01-17,76946.44,77973.62,75980.48,76490.1,2550743
2024-01-18,76463.63,77031.14,74895.81,75871.82,1006760
2024-01-19,76344.37,76472.85,75374.85,76225.03,1993818
2024-01-22,73308.47,74522.88,71884.79,73622.78,882166
2024-01-23,71819.4,72382.72,70104.08,71358.99,1948935
2024-01-24,71039.71,71402.05,70081.23,70658.16,987764
2024-01-25,68769.01,70161.14,68100.03,69391.19,2202345
2024-01-26,70120.16,71490.39,69093.19,69804.52,1510504
2024-01-29,69090.04,69514.65,67883.71,68684.54,972604
2024-01-30,66323.45,68250.75,66050.43,66959.09,2331143
2024-01-31,68620.49,69040.77,67452.04,68745.67,1350534
2024-02-01,68554.34,69553.68,67976.26,68486.91,1415854
2024-02-02,69214.69,70254.3,67941.34,68590.7,2145785
2024-02-05,66744.74,67233.76,65861.27,66852.24,2467261
2024-02-06,65574.11,66429.47,64319.94,66217.22,889603
2024-02-07,66841.13,67801.6,65639.85,66369.29,1015235
2024-02-08,65003.27,65664.05,63917.12,65014.17,1754473
2024-02-09,65340.43,66304.93,64822.07,65473.34,899668
2024-02-12,64622.65,65620.28,63947.96,64785.12,2684277
2024-02-13,64669.0,64933.87,63261.55,64464.4,2213322
2024-02-14,63181.51,64559.24,63046.58,63785.54,2066043
2024-02-15,65783.89,66803.13,65040.98,65931.35,2000356
2024-02-16,66517.27,67071.76,65820.56,65935.11,2791771
2024-02-19,64305.93,64849.53,63142.94,64699.57,840088
2024-02-20,65144.19,66594.88,63929.42,65676.91,1501746
2024-02-21,64696.54,64789.84,63962.6,64253.35,1420080
2024-02-22,64021.51,65432.74,63506.13,64514.19,2730438
2024-02-23,62550.57,63568.02,61346.33,62257.87,1190366
2024-02-26,61092.81,62090.45,60716.37,60788.12,1707758
2024-02-27,60865.57,61982.97,60042.38,61021.76,2847666
2024-02-28,62294.56,62864.61,61496.57,61851.19,2459994
2024-02-29,61567.93,63186.84,60927.61,62060.54,2618206
2024-03-01,61727.01,63065.99,60948.93,61949.97,823842
2024-03-04,62132.49,62302.38,60774.06,61632.79,2890136
2024-03-05,60551.85,61272.13,59531.23,60011.02,1786580
2024-03-06,59006.4,59680.71,58580.25,59251.45,2455223
2024-03-07,59120.71,60066.8,57704.24,58777.94,1887724
2024-03-08,59383.85,60599.49,58694.34,59914.01,2752949
2024-03-11,60122.76,60497.0,59083.65,60302.56,2475323
2024-03-12,58545.07,58716.09,57332.17,58406.97,2342132
2024-03-13,58263.08,59741.61,57879.62,58765.21,978967
2024-03-14,57890.8,59528.2,57144.66,58375.51,1615412
2024-03-15,58042.6,59145.27,57608.72,57681.74,2457432
2024-03-18,58189.77,58485.01,57885.19,58334.13,2028489
2024-03-19,59344.12,60517.13,58282.62,59434.2,1883775
2024-03-20,59857.57,61047.04,58724.45,60448.32,1061399
2024-03-21,59097.78,60347.47,58753.53,59553.33,2083411
2024-03-22,59787.31,60272.94,58376.52,59239.73,2710918
2024-03-25,59281.2,60761.3,58109.27,59610.74,2933733
2024-03-26,60120.99,61763.39,59521.37,60675.37,2984522
2024-03-27,59657.35,60863.6,59562.89,60170.24,1950815
2024-03-28,60142.46,60997.64,59305.54,59987.21,2180627
2024-03-29,58909.79,59977.36,57685.19,58810.62,1418119
2024-04-01,58080.5,59121.02,56909.07,57561.97,2164291
2024-04-02,58161.0,58688.35,57510.19,58421.11,1577374
2024-04-03,59964.99,60113.52,59775.84,59864.83,2969663
2024-04-04,60042.22,60713.84,58960.81,59805.2,2590349
2024-04-05,61128.45,61378.45,60739.46,60903.43,2609581
2024-04-08,61869.77,62784.74,60806.45,61318.15,1720134
2024-04-09,61149.19,62216.56,59464.11,60624.51,858007
2024-04-10,60886.26,62038.11,60810.66,61037.07,1130917
2024-04-11,62863.3,63381.1,62646.56,62745.17,2652661
2024-04-12,63147.96,63773.45,61963.42,62723.53,1401495
2024-04-15,63936.51,65633.24,63645.29,64508.87,2999378
2024-04-16,62097.01,62814.43,61154.91,61486.28,2878484
2024-04-17,62850.83,63209.05,61700.37,62414.37,1084150
2024-04-18,63098.73,63888.56,61551.92,62530.89,2277741
2024-04-19,62360.08,62846.8,61103.06,62213.1,2277461
2024-04-22,62359.83,63337.27,61703.88,62334.52,2674799
2024-04-23,60185.54,60887.17,59922.1,60123.12,1687662
2024-04-24,59464.95,59996.09,59128.83,59903.43,2164681
2024-04-25,60552.61,60858.17,59256.59,60306.46,831998
2024-04-26,61743.77,62684.88,60969.05,61928.83,1762444
2024-04-29,61865.74,62336.97,60741.61,61369.68,2524036
2024-04-30,60369.81,61270.51,60151.57,60494.99,2888945
2024-05-01,59543.49,61082.46,58909.36,59966.77,1368137
2024-05-02,60923.01,62169.17,60274.77,60972.84,1523253
2024-05-03,61515.63,61857.83,60213.34,61351.94,1083535
2024-05-06,60333.13,61021.54,59285.61,60785.32,2209924
2024-05-07,60974.71,61829.53,60794.16,61365.14,1842715
2024-05-08,61696.84,61960.54,60485.62,61490.77,889910
2024-05-09,62166.98,62975.19,61132.72,62581.35,995145
2024-05-10,61340.32,62412.22,60353.99,61809.29,1601393
2024-05-13,61467.49,62335.25,60279.93,61463.28,2558702
2024-05-14,61204.08,61360.36,60840.23,61047.92,2825919
2024-05-15,58936.08,59830.28,58660.13,59458.03,2446171
2024-05-16,59415.52,60090.42,58645.44,59792.79,1865950
2024-05-17,60233.82,60716.25,59417.96,60091.69,2444436
2024-05-20,59558.2,60463.7,59174.27,60115.25,2769455
2024-05-21,59893.43,60558.86,58803.79,59879.45,1784307
2024-05-22,58409.96,58737.46,57503.05,58371.88,1630025
2024-05-23,57391.21,58359.98,56473.96,57947.42,1520494
2024-05-24,57169.25,58639.66,56670.63,57607.34,2294025
2024-05-27,57121.17,57719.25,55750.65,56792.71,1981634
2024-05-28,56743.26,57603.67,55976.55,56644.87,1080676
2024-05-29,56827.03,57524.64,56387.89,57073.84,2055712
2024-05-30,58858.81,60194.15,58359.08,59028.7,1321898
2024-05-31,58760.15,59463.16,57859.55,59231.9,1153499
2024-06-03,59151.12,59906.22,58162.95,59524.26,2772883
2024-06-04,58963.15,60114.4,58243.65,59462.35,2961232
2024-06-05,56980.9,57918.02,56890.87,57426.49,2704115
2024-06-06,57780.41,58121.32,56454.41,57416.31,2271015
2024-06-07,57989.53,58660.96,56970.31,57495.78,1415954
2024-06-10,60386.03,60661.01,59230.43,60062.3,1735960
2024-06-11,59881.46,60217.15,58805.54,59872.35,2143364
2024-06-12,59960.74,60940.5,58937.38,60215.29,1858508
2024-06-13,60234.97,60354.51,59376.8,60195.73,1095712
2024-06-14,58432.74,60115.21,57621.97,58947.5,2581723
2024-06-17,59882.48,61017.18,59549.79,60177.78,2110405
2024-06-18,60975.65,61548.75,60160.31,61010.33,2844964
2024-06-19,62306.62,63511.35,60805.57,61897.33,2407908
2024-06-20,61436.63,61709.62,59761.6,60902.71,2430465
2024-06-21,62551.82,63614.87,61375.48,62458.79,2549588
2024-06-24,60538.06,61151.76,59516.24,60901.49,2592064
2024-06-25,61766.49,62442.1,60751.55,61563.08,2729841
2024-06-26,63871.19,65066.01,63126.68,64008.87,1629277
2024-06-27,62839.88,63309.81,62475.7,62886.82,1905984
2024-06-28,61931.19,63391.15,61144.28,62264.66,1995816
2024-07-01,62902.26,63711.22,61285.71,62395.02,2867630
2024-07-02,62006.25,62462.82,60774.98,61848.28,2546855
2024-07-03,60284.96,60956.28,59959.15,60140.53,2534913
2024-07-04,59813.18,60649.77,58899.32,60232.8,2436681
2024-07-05,58547.77,59798.15,58224.98,59099.13,2728884
2024-07-08,59432.35,60610.59,58368.63,59620.66,2662195
2024-07-09,58214.87,59153.23,57932.45,58651.84,1129818
2024-07-10,59979.2,61193.63,59600.17,60305.76,2210524
2024-07-11,59704.32,60379.68,58568.68,59473.62,1560531
2024-07-12,58770.04,60226.74,58246.07,59146.69,1681873
2024-07-15,59984.92,61171.02,58960.0,60030.54,2089705
2024-07-16,58725.45,59466.43,57564.37,58718.54,2718672
2024-07-17,59486.26,60184.48,58577.67,58976.56,2829498
2024-07-18,60632.16,60868.52,59835.4,60381.89,2134773
2024-07-19,58563.87,59532.22,58432.28,58652.87,2836250
2024-07-22,58807.52,59050.91,58731.77,58865.4,2645575
2024-07-23,58714.33,60252.62,58510.48,59158.42,1941443
2024-07-24,60118.24,60634.12,58870.96,60008.69,1537433
2024-07-25,59046.09,59110.33,57888.68,58690.6,1675971
2024-07-26,57356.1,58415.88,56544.12,57313.23,1563297
2024-07-29,58143.76,58701.48,56958.46,57868.88,1795366
2024-07-30,57777.58,58448.82,57169.13,58195.59,1721635
2024-07-31,58960.61,59425.55,57950.99,58475.45,2190981
2024-08-01,58284.49,59658.54,57315.95,58857.65,2914354
2024-08-02,57746.22,58671.15,56684.94,58154.86,2993123
2024-08-05,58417.99,59137.25,57321.57,58415.43,2449913
2024-08-06,58400.3,59802.15,57459.92,58741.11,1219512
2024-08-07,57465.79,58581.67,56933.19,58003.42,944559
2024-08-08,60299.27,60878.89,59366.92,59968.81,1769678
2024-08-09,60378.2,61202.06,59348.72,60498.27,1200241
2024-08-12,59647.62,60779.5,58454.78,59219.13,1395638
2024-08-13,60109.36,60636.28,58766.92,59936.74,1143535
2024-08-14,59157.61,59957.39,57755.44,58903.18,1288338
2024-08-15,59433.97,60577.95,58267.54,59755.36,1029038
2024-08-16,61385.48,61655.11,60555.85,61019.47,1324002
2024-08-19,59654.61,60474.36,59280.17,60136.38,2682532
2024-08-20,61601.4,62127.88,60750.1,61197.23,1250965
2024-08-21,61415.15,62782.23,60202.02,61670.29,988118
2024-08-22,62235.59,62695.49,61205.43,62601.33,2082691
2024-08-23,64655.69,65920.55,64366.78,64757.46,1551998
2024-08-26,64180.56,65020.59,63616.77,64490.86,1389740
2024-08-27,63793.24,64353.27,63030.0,63635.24,1759478
2024-08-28,62377.97,63826.81,62035.43,62635.45,1108248
2024-08-29,62189.41,62827.55,61549.04,61734.46,2559681
2024-08-30,61575.07,61755.3,60657.9,61667.31,1991595
2024-09-02,62230.18,62597.33,60987.53,62064.49,2636846
2024-09-03,62996.68,63688.89,61347.89,62392.22,1399076
2024-09-04,62729.81,64503.57,61615.56,63339.91,2068336
2024-09-05,63087.36,64104.4,62606.44,63373.74,2625431
2024-09-06,64668.89,65129.48,63543.7,65050.84,2780041
