Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,000660,129088.05,130792.39,127391.89,130000.0,1698602
2024-01-02,005380,218770.07,220907.89,216083.64,220000.0,2838487
2024-01-02,005930,71210.88,71643.88,69600.38,71000.0,2923033
2024-01-02,035420,179937.36,180918.83,179645.53,180000.0,2373275
2024-01-02,051910,580035.64,581529.45,575232.41,580000.0,1548490
2024-01-03,000660,126620.0,126882.98,123726.35,126166.56,1662203
2024-01-03,005380,220857.22,222836.01,217694.55,219931.66,985268
2024-01-03,005930,68293.91,69586.09,67844.94,68635.86,2142016
2024-01-03,035420,180203.19,181845.74,176611.1,178570.57,2775501
2024-01-03,051910,579794.93,585163.18,566292.22,575696.83,1220432
2024-01-04,000660,124513.21,125095.34,123055.35,124024.15,1371621
2024-01-04,005380,215755.29,218702.88,210569.42,213684.36,2088778
2024-01-04,005930,69639.62,70331.13,69037.64,69901.18,2705410
2024-01-04,035420,178201.14,180774.06,175403.06,178111.91,1782798
2024-01-04,051910,583297.29,586824.0,577032.61,580178.66,1252952
2024-01-05,000660,124743.27,126990.91,122010.88,123787.42,1305986
2024-01-05,005380,213684.52,219534.15,210120.46,215366.61,2225666
2024-01-05,005930,69677.77,69887.65,67882.68,69060.74,2878419
2024-01-05,035420,175644.43,177846.85,172134.69,176977.25,886383
2024-01-05,051910,584528.82,592395.71,583313.42,586620.87,2849809
2024-01-08,000660,123812.58,124723.48,122918.07,124032.6,2617342
2024-01-08,005380,212105.52,216310.62,210994.0,213190.86,2281523
2024-01-08,005930,70395.73,71647.15,68932.74,70064.28,2092688
2024-01-08,035420,174384.9,175362.28,171458.27,172736.02,2646019
2024-01-08,051910,593412.4,601571.42,583228.6,596911.83,1921967
2024-01-09,000660,121967.31,123999.61,120032.41,121546.54,1143897
2024-01-09,005380,217132.25,221031.28,212627.07,216636.16,1528012
2024-01-09,005930,67872.63,68817.56,66772.91,67600.68,833868
2024-01-09,035420,170738.54,171406.08,169514.05,170565.72,2120553
2024-01-09,051910,616026.57,627680.38,614591.29,616512.6,1643848
2024-01-10,000660,127463.08,128463.54,125940.15,126859.36,1395416
2024-01-10,005380,215615.36,220991.09,212898.27,216706.32,2411747
2024-01-10,005930,68821.04,69220.82,67920.72,68707.09,2906678
2024-01-10,035420,173013.82,175717.19,171964.63,172217.31,2061839
2024-01-10,051910,622211.66,633533.89,619304.35,622314.5,808043
2024-01-11,000660,129268.23,132948.88,127066.51,130360.05,2974526
2024-01-11,005380,219120.31,220222.39,214938.83,218313.75,1418826
2024-01-11,005930,67094.05,68369.77,65992.52,67229.81,2279413
2024-01-11,035420,172717.39,175574.2,169487.64,173266.15,2774274
