Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,000660,129950.74,132339.68,129394.19,130872.19,1149597
2024-01-02,005380,220456.88,221241.58,218911.05,219264.49,1628688
2024-01-02,005930,70938.7,73734.74,70476.24,72658.58,1321898
2024-01-02,035420,180433.92,183015.27,177896.59,182313.61,2730170
2024-01-02,051910,578533.62,581792.39,566381.81,572984.87,2973630
2024-01-03,000660,130958.75,132059.14,130371.95,131677.94,2245301
2024-01-03,005380,219053.0,219599.44,217258.17,219188.67,1039829
2024-01-03,005930,72484.97,73352.88,71647.29,73123.27,1153499
2024-01-03,035420,182192.64,183756.7,180688.86,180950.71,946442
2024-01-03,051910,572604.6,579050.17,554458.48,557476.57,1266578
2024-01-04,000660,132038.7,133185.66,130163.58,132924.41,1420811
2024-01-04,005380,218857.96,223993.72,218053.35,222782.41,2726075
2024-01-04,005930,72985.75,73350.05,72018.97,72935.97,2772883
2024-01-04,035420,181111.74,181480.75,176574.64,178312.01,2568391
2024-01-04,051910,556603.56,567529.97,551458.19,564741.29,1315515
2024-01-05,000660,132734.36,136076.73,132427.42,135472.84,1349001
2024-01-05,005380,222518.37,229697.08,221851.09,226744.46,2482232
2024-01-05,005930,72752.28,74812.27,72078.99,74193.27,2961232
2024-01-05,035420,178240.84,187148.25,176962.28,184389.68,1506556
2024-01-05,051910,563113.65,582387.58,562279.42,574736.97,1551454
2024-01-08,000660,135287.47,137822.42,134109.97,136237.76,2508763
2024-01-08,005380,226263.8,228676.8,221983.91,222377.44,2301589
2024-01-08,005930,74020.56,75195.85,73914.91,74705.04,2704115
2024-01-08,035420,184080.02,185167.44,181070.07,182859.26,951170
2024-01-08,051910,574180.07,574811.26,566143.92,569261.48,2615967
2024-01-09,000660,135882.48,136945.89,133539.84,135508.7,937837
2024-01-09,005380,222152.77,223931.8,218646.08,219956.99,1923254
2024-01-09,005930,74847.17,75192.26,73153.48,74087.54,2271015
2024-01-09,035420,182716.17,184086.42,179675.56,180556.98,2244804
2024-01-09,051910,568054.45,573754.68,565816.97,571904.38,2155839
2024-01-10,000660,135839.15,139065.72,134814.1,138656.76,1704410
2024-01-10,005380,219455.43,224691.75,218628.86,223491.84,2695119
2024-01-10,005930,74278.41,76617.01,73758.65,75949.07,1415954
2024-01-10,035420,180783.14,186247.42,178622.3,186039.6,2255705
2024-01-10,051910,570342.6,599552.57,564254.11,593783.57,1611195
2024-01-11,000660,138529.76,142397.33,136494.14,140487.03,2260337
2024-01-11,005380,223005.48,228398.9,220687.01,225171.42,2257090
2024-01-11,005930,76071.87,77495.06,75275.51,77215.65,1735960
2024-01-11,035420,186021.73,187504.04,185326.55,187302.81,2500181
2024-01-11,051910,594744.54,606666.73,589156.91,599263.96,2883736
2024-01-12,000660,140877.64,142123.33,138562.25,138823.86,914967
2024-01-12,005380,225511.65,231755.0,225114.86,228923.85,1488423
2024-01-12,005930,77219.18,77558.46,75180.86,76201.37,2143364
2024-01-12,035420,187357.22,188711.53,186557.43,188347.93,2084169
2024-01-12,051910,598927.64,605998.4,587930.48,592806.74,2774571
2024-01-15,000660,138756.22,141752.88,138094.56,141097.87,2958853
2024-01-15,005380,229416.27,230068.64,225694.18,226857.83,2432351
2024-01-15,005930,76104.73,77453.34,75127.63,76752.03,1858508
2024-01-15,035420,188666.57,193356.61,187957.57,191153.67,1939617
2024-01-15,051910,594257.08,602739.36,593134.47,601401.94,2616176
2024-01-16,000660,140891.75,142322.99,138358.72,140071.32,2043726
2024-01-16,005380,227099.74,228129.04,226422.05,227052.66,1171488
2024-01-16,005930,76767.04,76899.51,73620.76,74386.01,1095712
2024-01-16,035420,190741.15,193422.73,189536.93,191432.56,2432957
2024-01-16,051910,602453.11,604750.11,585851.53,588043.95,2670292
2024-01-17,000660,140041.0,142086.73,137411.89,138308.21,1568914
2024-01-17,005380,226444.57,232194.4,224555.27,229657.94,2668015
2024-01-17,005930,74191.13,75293.57,72587.69,73356.99,2581723
2024-01-17,035420,191053.39,191765.95,186846.11,187320.83,2449951
2024-01-17,051910,587300.01,595716.99,577129.01,585502.85,1129800
2024-01-18,000660,137987.97,139896.53,136353.43,139461.76,1352126
2024-01-18,005380,229497.27,236737.84,228742.27,235946.03,2007601
2024-01-18,005930,73249.0,74254.38,72929.87,73479.83,2110405
